Age,Referrals,Tenure_Months,Add-on Service,Monthly Charge,Churn Score
72,8,58,8,100.4,64
65,2,20,6,91,57
65,7,62,7,89.8,67
68,2,7,4,74.85,44
76,2,28,5,39.1,59
70,2,70,9,105.35,34
73,9,39,8,101.25,77
77,10,43,8,100.55,65
74,2,34,6,64.2,34
79,7,72,8,73.45,29
69,0,29,5,79.3,21
80,0,72,2,25.4,51
77,8,11,5,78.1,50
67,0,49,10,81.35,69
79,10,69,6,56.55,28
66,0,19,6,87.3,70
72,9,67,9,102.9,52
75,4,72,11,114.5,47
65,0,38,1,20.2,71
71,8,40,4,55.8,78
70,0,59,8,99.5,50
79,9,15,7,96.5,61
79,8,28,2,25.7,80
66,1,16,7,91.55,46
75,6,30,9,105.7,54
77,0,57,8,93.75,75
66,1,72,9,109.75,53
66,1,34,4,75.55,22
71,1,19,6,66.4,22
65,0,35,3,70.55,45
65,6,19,4,34.3,20
80,2,7,4,75.4,41
76,2,35,5,81.6,60
74,0,35,10,110.8,35
74,4,44,1,19.35,42
65,4,59,6,50.25,27
80,3,71,2,25.45,26
75,0,67,4,75.7,30
70,0,26,5,78.8,37
68,4,62,7,89.1,25
76,0,13,5,59.9,58
70,7,34,9,108.9,24
75,8,57,7,95.3,23
69,0,62,5,84.45,60
80,0,11,4,79.15,20
72,0,60,7,71.75,71
79,1,50,8,100.65,40
66,0,51,1,19.6,68
70,1,12,3,29.3,75
68,0,63,10,109.4,24
77,1,37,1,19.6,77
80,0,8,5,87.1,65
75,0,53,4,73.8,45
69,9,64,2,24.4,68
69,0,1,3,70.2,47
72,0,69,10,110.25,69
67,6,66,9,104.9,48
69,0,6,3,44.7,30
66,10,67,6,83.85,49
70,3,23,6,90,50
77,6,39,7,99.1,22
71,0,26,5,85.8,46
70,3,60,4,49.45,61
77,4,45,8,75.15,52
69,0,4,3,70.65,34
75,3,59,6,88.75,21
78,0,35,5,91,35
68,3,54,1,18.95,28
68,0,66,8,102.4,69
66,0,42,5,55.65,80
78,0,18,3,74.7,62
72,0,5,5,80.7,51
79,6,33,7,100.6,55
73,10,54,4,74,30
67,0,54,6,99.05,34
73,2,69,9,110.55,25
72,7,27,6,85.9,63
72,10,31,6,50.4,39
68,0,67,5,54.9,33
75,0,55,7,100.15,64
76,4,54,2,24.95,56
68,0,2,5,56.55,33
65,0,67,9,105.05,49
76,9,65,8,104.35,69
74,0,36,6,91.95,48
79,0,54,6,65.25,66
74,0,60,7,101.4,66
71,0,63,9,83,29
70,9,2,3,70.1,74
77,7,69,6,84.9,59
71,1,58,6,89.85,58
77,0,66,10,116.25,31
71,1,51,3,29.45,80
69,0,50,6,70.35,30
67,1,72,10,109.55,59
76,2,63,4,36.1,48
77,0,18,1,20.35,30
67,8,28,9,105.8,73
72,0,53,8,96.75,58
79,9,68,5,41.95,34
66,0,9,6,90.1,48
68,0,54,7,72.1,47
78,0,64,9,103.5,63
76,5,72,10,109.7,32
72,5,72,10,84.1,62
68,0,16,5,78.75,74
80,3,3,3,74.6,57
76,5,27,10,83.85,35
78,0,35,8,99.05,63
74,0,2,3,43.95,55
70,9,72,2,25.7,21
66,0,68,7,95.9,68
67,8,67,8,107.05,21
68,5,13,4,45.3,48
65,8,22,6,89.75,23
76,7,51,7,93.65,68
74,1,71,7,72.9,54
72,0,57,8,79.75,79
69,9,62,8,79.95,54
72,1,70,8,105.55,51
80,0,45,5,85.7,44
77,1,57,7,94,49
65,0,18,8,103.6,73
69,0,6,4,79.7,44
71,0,1,3,45.85,56
68,0,71,8,99.65,63
69,0,51,7,94,77
75,1,56,8,68.45,79
77,0,64,4,43.85,46
66,0,68,1,20,55
79,0,67,7,64.55,67
66,3,42,7,95.55,26
77,1,61,8,94.2,76
77,1,53,7,94,73
72,0,35,10,108.35,50
78,8,72,9,63.1,56
80,4,34,5,85.2,27
77,2,63,9,103.5,53
75,0,6,5,44.4,71
67,2,55,6,60,71
37,0,2,5,53.85,86
19,0,2,3,70.7,67
31,0,8,8,99.65,86
23,0,28,9,104.8,84
38,0,49,9,103.7,89
21,6,10,5,55.2,78
29,0,1,1,20.15,92
61,1,47,8,99.35,77
27,1,1,3,30.2,90
20,0,17,6,64.7,74
56,0,5,3,69.7,66
51,0,34,9,106.35,65
48,0,11,8,97.85,70
32,0,2,3,80.65,90
34,0,15,8,99.1,82
41,0,9,7,94.4,96
32,0,1,4,79.35,87
34,1,7,4,75.15,70
34,0,12,4,78.95,86
30,0,5,1,21.05,66
26,4,68,10,110,86
37,0,55,7,96.75,75
62,1,10,8,100.25,87
21,0,3,5,74.4,76
27,6,25,8,58.6,91
64,0,1,4,35.45,80
45,0,2,3,44.35,76
53,0,8,8,71.15,66
63,0,1,3,45.65,73
32,0,7,6,95,94
26,5,20,6,82.4,86
42,0,4,3,70.9,75
26,1,2,9,104.4,83
24,5,53,7,94.85,80
54,0,1,3,29.95,95
51,0,8,6,84.5,86
48,0,13,5,79.25,73
29,4,1,3,24.8,94
39,5,6,7,91,94
62,0,1,5,79.9,91
43,0,19,8,106.6,71
19,0,2,4,46,76
39,0,4,3,70.15,67
50,2,4,4,50.05,82
22,0,1,5,55.2,81
40,0,1,6,84.6,66
22,0,2,6,54.4,81
37,0,1,4,48.55,77
47,1,2,3,70.4,75
41,3,2,3,44.6,91
51,0,59,1,19.35,83
60,0,1,2,24.8,73
30,0,1,3,70.6,69
51,1,5,6,85.4,80
20,6,52,9,105.05,65
52,6,18,7,95.15,68
41,1,1,2,70,90
34,0,10,3,44.85,83
21,0,1,5,73.6,80
30,0,5,3,80.6,69
55,1,38,9,80.3,81
29,0,7,5,73.85,67
54,0,2,5,80.6,92
63,1,68,8,75.8,81
24,0,43,9,104.6,91
61,2,63,9,103.4,91
47,0,2,6,90.4,76
26,5,4,7,84.8,73
40,0,10,5,80.25,85
54,0,5,7,96.5,91
22,0,2,6,85.65,73
48,1,25,9,104.95,66
26,0,1,5,50.65,76
64,0,1,7,90.85,81
63,0,34,4,73.95,94
30,2,69,8,99.45,80
59,0,1,1,19.9,92
52,0,1,1,19.6,95
23,4,22,6,83.3,88
22,3,61,1,19.4,82
49,0,12,3,45.4,68
20,0,60,9,105.9,84
54,0,1,3,69.55,73
58,1,28,5,81.05,91
21,3,4,8,101.15,84
61,0,7,7,99.8,91
60,3,13,5,55.95,91
25,0,1,5,55,71
52,0,1,4,74.7,80
52,0,24,5,80.25,77
61,0,5,7,96.1,66
40,0,15,3,69,73
28,3,48,5,45.3,65
32,1,8,5,83.55,65
32,0,1,4,74.35,93
28,1,2,4,74.4,77
51,0,22,6,43.75,66
49,0,12,9,99.7,76
49,4,2,7,94.2,72
64,1,6,5,80.5,91
55,0,40,9,104.8,88
47,0,23,4,75.6,81
22,2,34,7,100.05,72
51,0,1,6,85,80
33,0,10,5,86.05,85
52,0,13,5,45.55,74
29,5,39,5,86.3,91
31,0,32,5,80.35,92
44,0,35,8,100.25,72
50,2,56,7,100.3,67
48,1,12,1,19,72
28,0,1,4,75.3,87
52,0,12,7,61.65,67
32,1,9,2,29.95,83
20,1,9,7,65,76
27,0,7,1,20,91
20,7,65,9,105.5,89
26,1,10,5,85.25,75
57,3,43,4,56.15,65
38,0,1,6,89.55,91
57,0,1,3,45.7,95
30,0,3,3,69.55,87
23,0,1,3,74.6,94
40,2,2,1,19.85,68
48,0,4,2,24.25,93
52,0,2,3,69.65,80
47,0,4,3,45.65,78
23,0,1,4,75.05,78
19,0,2,4,34.7,65
48,1,1,5,80,88
63,0,3,4,75.1,92
23,1,3,4,50.15,93
54,0,25,5,79.85,91
27,0,1,1,19.55,95
48,1,4,6,85.95,95
26,0,3,3,45.35,90
29,0,45,6,87.25,90
51,0,10,8,98.55,93
37,0,15,6,85.9,96
38,0,22,6,89.25,82
31,1,3,3,70.3,66
49,0,15,7,93.35,77
45,0,1,1,19.9,91
37,1,5,7,88.9,79
24,1,33,6,95.8,76
42,0,2,5,82,90
63,0,2,3,45.35,81
41,0,1,4,52.2,71
58,0,62,8,96.75,92
33,0,10,7,98.5,74
61,0,6,5,85.35,75
54,1,40,8,101.3,70
27,0,1,4,69.55,76
20,0,58,9,103.25,74
25,0,70,9,104,80
62,0,2,6,86.2,95
24,1,21,9,111.2,89
41,1,16,6,89.45,73
21,1,60,7,90.95,76
58,1,50,10,108.55,82
45,0,1,3,44.4,89
59,1,12,1,19.8,94
21,0,1,6,89.9,80
41,0,62,8,100.15,91
58,0,1,4,50.8,85
55,0,3,7,95.1,77
52,0,22,6,94.65,85
46,1,4,5,80.6,86
24,0,59,6,85.55,80
58,0,60,6,50.8,67
54,0,15,9,105.1,84
53,0,10,10,110.1,76
40,0,6,6,83.9,90
48,3,63,7,100.55,79
55,6,50,9,103.85,91
39,0,1,2,24.6,76
64,0,12,8,98.9,71
27,0,9,8,98.3,81
36,0,17,7,93.85,93
37,0,13,5,81.15,79
51,0,6,5,79.05,91
32,0,3,4,74.4,90
21,1,1,4,44.7,74
36,0,1,3,45.7,72
53,0,7,1,19.25,82
57,0,2,7,96,83
30,0,1,5,90.55,72
30,0,71,10,108.05,81
51,0,1,3,69.9,84
41,0,1,6,86.6,93
28,0,35,6,85.3,88
61,0,34,3,70,93
46,0,7,7,95.35,92
33,0,18,7,90.1,80
26,0,2,4,68.95,84
39,1,32,7,99.55,71
53,1,18,6,57.45,84
27,1,12,5,53.65,78
62,1,26,5,83.75,84
44,1,38,4,79.45,85
37,1,32,3,69.75,96
50,0,1,1,19.65,91
55,0,5,5,39.5,93
58,1,40,7,97.1,67
26,0,5,4,80,90
40,0,10,5,84.7,69
49,1,2,6,89.55,73
21,0,23,7,90.6,82
64,0,23,6,90.05,67
54,1,49,8,99.05,91
46,0,2,3,69.75,68
42,0,2,3,49.05,91
32,0,7,8,98.05,86
23,0,41,11,114.5,80
51,0,2,5,80.95,65
63,1,25,5,90.4,91
21,1,3,6,56.15,83
59,0,4,8,94.4,74
62,0,37,5,78.95,90
27,0,19,5,44.85,72
23,0,7,4,74.65,75
51,1,14,6,64.7,86
38,0,1,4,35.55,71
32,0,2,7,95.15,82
54,4,13,7,96.65,75
41,0,1,2,31.35,85
57,0,12,6,89.75,90
33,9,60,7,94.4,91
32,0,1,1,19.85,66
55,0,6,10,109.9,69
42,0,15,8,101.35,91
19,0,1,5,60.15,91
31,0,7,6,90.45,91
48,1,53,7,94.25,96
26,0,1,5,74.9,84
34,0,1,4,80.25,69
58,1,17,3,69,77
62,1,11,7,66.35,91
58,0,19,5,86,91
37,1,3,5,80.3,72
40,0,24,6,90.55,67
30,0,2,4,75.9,86
47,1,1,3,45.85,73
36,1,16,6,49.95,78
36,1,34,4,78.3,77
44,0,3,3,76.95,92
49,0,1,3,45.3,66
47,0,15,1,19.4,87
46,0,11,6,90.15,66
23,0,1,4,45.05,91
53,0,1,4,75.8,70
54,0,7,4,79.3,69
53,0,2,3,30.9,91
43,1,59,10,110.15,90
20,1,8,5,75,80
35,0,6,2,44.75,78
41,1,11,3,44.05,84
30,0,70,11,115.55,87
27,0,18,6,85.2,77
35,1,34,7,97.65,87
54,1,47,9,109.55,90
50,1,39,7,89.55,65
42,0,1,1,19.45,78
34,0,4,1,20.35,81
33,1,59,8,99.5,76
44,0,2,2,45,93
35,0,1,1,20.15,70
28,0,66,9,105,96
58,0,3,4,54.7,66
49,1,14,7,87.25,78
38,1,10,4,79.95,68
47,0,18,6,88.35,96
34,0,9,6,94.75,83
28,0,4,6,78.45,67
43,0,4,3,70.2,92
23,1,59,5,41.05,70
63,1,10,5,85.6,70
39,0,5,6,70,77
51,0,1,4,49.95,71
19,1,22,3,69.25,85
34,1,41,8,73,86
39,0,64,8,100.05,69
27,0,18,3,35,76
20,0,1,4,76,72
36,1,15,5,84.3,86
62,1,15,8,101.1,90
37,0,1,4,50.45,68
20,0,12,7,99.95,80
50,0,2,6,91.4,80
28,0,4,6,80.8,72
61,1,16,8,100,68
53,0,1,1,20.55,87
30,0,5,6,85.3,81
19,0,4,3,70.4,88
27,0,37,8,98.8,82
36,1,13,4,74.4,89
35,0,24,8,98.75,85
52,1,61,9,106,92
21,0,41,9,104.7,84
47,0,2,5,55.05,81
44,1,8,1,19.75,89
62,0,17,4,76.65,87
49,0,2,6,42.6,79
45,0,29,8,68.85,79
51,1,2,7,90,91
42,0,14,4,75.35,71
56,0,8,8,100.85,90
55,1,5,3,69.95,81
50,1,63,8,107.5,96
58,0,1,3,45.85,94
44,1,53,9,106.1,94
20,0,1,7,91.7,71
39,0,16,8,95.6,96
59,0,1,4,74.95,82
62,0,66,8,99.5,73
38,1,17,8,98.6,91
54,0,7,5,59.5,91
53,1,42,4,77.95,82
33,0,30,6,90.25,84
51,0,15,7,64.65,89
34,1,67,6,87.4,65
32,0,35,5,86.45,68
21,1,56,7,98.25,90
46,1,9,4,75.75,92
55,0,48,9,106.1,89
23,0,34,10,109.8,89
61,1,11,3,79.5,91
30,0,1,6,85.8,89
19,1,3,4,44.3,88
37,0,50,9,105.95,79
32,0,5,3,69.75,91
44,1,51,7,94.65,91
57,0,46,6,96.05,77
41,1,41,11,113.6,96
37,0,29,4,78.9,90
35,1,26,6,60.05,71
31,0,1,3,34.7,81
46,0,3,6,85.3,67
41,1,66,8,102.45,82
22,1,21,9,104.4,67
59,0,1,8,99.75,93
39,0,4,8,74.4,69
23,0,9,5,74.25,76
50,0,1,5,59.85,71
54,0,9,4,45.4,81
54,0,1,1,19.5,77
56,0,1,3,69.9,88
50,0,2,5,87.15,72
47,1,3,6,84.75,91
40,0,14,6,89.95,90
33,0,2,4,79,92
39,0,18,1,20.15,85
60,0,1,3,71.65,93
35,0,4,1,20.35,76
26,0,38,7,84.25,70
32,0,12,5,78.1,89
20,1,19,6,89.65,74
35,0,10,8,98.7,68
63,0,1,4,76.35,67
51,0,23,5,79.15,68
44,0,31,5,86.55,74
47,0,19,3,73.85,89
44,0,24,7,96,71
57,0,1,1,20.05,66
53,0,65,10,108.65,79
28,0,10,4,45.55,67
36,1,2,3,35.1,78
47,0,1,3,46.2,76
29,0,1,4,45.15,89
31,1,19,4,73.2,90
46,0,52,5,85.35,91
23,0,1,4,45.95,69
55,0,3,5,83.75,65
38,0,1,3,70.05,69
61,0,2,6,86,77
35,0,16,4,72.65,73
30,1,1,1,21,90
21,0,56,8,94.45,96
54,0,44,6,84.8,66
50,0,1,4,50.9,83
27,1,49,7,99.8,83
43,1,47,9,107.35,91
45,1,31,1,19.55,67
60,0,3,5,79.1,74
40,0,8,2,25.5,78
41,0,2,5,80.75,87
29,0,65,7,91.85,82
41,0,1,3,75.35,90
55,0,1,4,75.45,74
35,0,24,4,49.55,80
51,0,69,10,78.6,93
35,1,7,4,81.1,87
39,1,11,4,74.95,70
33,1,58,8,102.1,96
64,1,14,7,90.9,70
46,1,12,3,29.2,94
36,1,25,6,89.15,90
37,3,1,3,45.7,91
23,1,2,5,44.6,70
48,0,23,4,74.95,89
39,0,57,7,95.25,93
23,0,24,7,89.85,95
35,1,49,8,100.45,90
25,0,5,5,47.15,82
58,0,2,4,80.2,91
33,0,4,6,87.1,80
30,0,5,4,75.9,87
29,1,47,9,98.75,80
57,0,10,6,86.45,80
28,0,1,4,45.3,69
61,4,67,9,104.1,74
31,1,67,7,90.6,73
21,1,15,6,88.15,79
55,0,1,1,20.2,92
47,1,26,6,90.8,75
48,0,22,5,79.35,68
26,1,47,6,83.35,91
27,0,2,5,49.4,90
27,1,22,9,79.2,91
61,1,7,4,48.7,91
29,0,1,7,95.6,79
40,0,49,6,59.75,78
43,0,1,2,71.35,77
42,0,1,1,20.15,86
35,0,1,3,69.75,66
41,1,17,4,80.85,77
47,0,4,4,33.65,95
56,0,1,4,79.95,91
58,0,1,1,19.3,92
55,1,37,9,99.2,79
32,0,8,6,85.2,95
40,0,3,4,75.25,83
30,0,1,5,54.35,87
37,1,5,2,24.95,79
39,1,40,5,42.35,67
38,0,1,3,75.3,91
22,0,51,8,94.8,94
63,1,33,6,86.15,66
25,1,30,6,85,90
29,0,2,5,80.55,69
37,0,2,4,75.8,91
45,0,30,5,85.15,76
63,1,24,5,54.75,90
60,0,1,3,79.5,92
58,0,67,10,111.3,85
63,1,7,5,86.25,89
64,0,14,5,86.3,74
56,0,28,7,89.95,90
41,0,10,3,70,67
53,0,34,7,64.4,75
52,1,1,9,102.45,85
30,0,3,5,80.1,65
51,0,2,3,80.2,85
20,0,6,9,98.15,80
60,0,12,10,112.95,90
43,0,1,3,70.9,78
28,1,23,8,99.85,83
41,0,1,4,74.5,75
60,0,65,9,109.15,91
48,0,16,7,65.2,73
42,0,1,3,71.55,91
27,1,53,8,93.9,68
42,1,13,6,48.75,86
63,0,4,4,85.65,96
44,0,12,9,106.7,92
46,0,1,2,25.15,91
21,1,54,10,110.35,90
24,1,48,9,103.25,71
35,0,2,4,47.8,89
49,0,29,8,98.6,72
35,1,17,3,70.4,67
49,0,1,3,45.95,82
45,0,1,5,85.55,86
61,4,35,2,70.3,79
22,1,33,9,103.7,76
23,0,1,6,88.35,72
22,1,8,7,94.2,80
62,0,5,7,96.25,74
28,1,2,3,70.7,86
55,1,42,3,33.55,82
38,0,57,10,112.95,89
54,0,1,4,35.9,93
30,0,38,8,99.25,76
26,0,8,9,103.35,71
55,0,18,6,90,90
58,1,28,9,106.1,85
30,0,5,7,89.35,70
32,0,1,3,77.15,79
53,0,1,4,35.25,88
26,4,4,6,48.55,90
45,1,53,8,98.4,87
44,0,14,5,80.45,94
60,0,31,4,55.25,78
28,1,13,7,54.45,88
53,0,35,4,75.35,79
55,0,2,4,75.7,82
28,0,1,4,74.25,93
52,0,1,1,19.4,66
46,0,9,6,83.3,90
34,0,8,4,80.1,67
62,0,25,2,25.3,79
46,0,13,7,98.15,91
48,0,46,8,93.7,70
36,0,18,9,82,79
59,1,60,7,95.75,88
33,1,30,7,94.05,68
44,0,1,5,54.75,83
56,0,1,7,94.6,96
61,2,7,4,34.5,93
44,1,61,9,105.55,86
56,0,39,2,30.1,72
36,1,10,3,70.3,94
25,0,1,5,80.2,90
41,1,67,8,94.35,91
61,5,6,3,44.6,90
24,0,1,1,19.6,91
21,0,2,3,70.7,96
21,1,1,5,84.8,80
21,0,52,9,105,85
62,0,22,5,54.45,71
40,1,47,6,85.3,90
51,0,33,5,83.35,66
59,0,18,4,33.5,82
64,0,24,6,90.35,67
26,0,1,6,90.75,86
64,0,4,6,89.6,87
21,0,2,6,49.25,90
43,0,1,1,19.75,92
64,0,19,7,95.15,78
44,0,22,8,101.35,77
46,0,4,3,70.05,89
24,8,4,4,74.65,87
60,0,4,4,50.4,92
61,0,7,5,79.65,81
55,1,5,4,78.75,72
47,0,1,4,50.1,90
19,1,2,4,76.4,71
28,0,3,8,98.7,72
37,1,28,6,90.1,91
47,0,15,3,51.55,66
44,0,5,7,94.85,69
39,0,2,6,85.7,95
58,0,1,3,44.4,76
44,0,4,4,44.55,66
41,1,31,4,35.4,77
45,0,1,7,95.65,87
19,0,1,1,20.95,70
54,0,15,1,19.75,69
42,1,17,7,92.55,91
28,0,9,5,85.35,89
48,0,25,8,74.3,85
34,0,4,8,98.1,87
63,0,50,10,109.65,84
32,0,3,7,100.95,81
25,0,10,7,94.9,83
53,1,9,2,24.1,82
23,1,66,9,104.05,95
33,0,3,6,88.35,93
43,1,29,7,94.65,70
42,1,41,10,79.9,84
24,0,1,1,20.5,76
44,0,1,5,81.95,85
39,1,7,2,69.35,82
53,0,6,6,91.1,68
20,1,14,5,86.1,89
41,0,25,7,94.7,82
40,1,22,6,85.1,68
63,1,61,8,99.15,77
31,0,1,2,45.05,73
39,0,1,5,79.7,75
46,0,22,6,59,77
51,0,48,6,60.35,69
52,0,25,2,70.95,75
35,1,20,6,89,78
51,1,18,8,99.4,86
50,0,1,4,73.5,74
45,0,9,7,95.5,90
47,1,28,7,92.35,71
20,0,11,4,74.55,81
57,3,20,9,105.85,84
35,0,7,4,75.45,75
60,0,7,7,93.85,79
51,0,22,8,100.75,91
43,1,3,2,31,67
38,0,51,5,80,91
32,1,62,8,100.15,93
52,0,28,8,94.5,80
42,0,10,4,33.9,84
41,0,12,5,84.45,91
35,0,27,5,79.5,91
44,1,1,6,89.15,68
45,0,3,5,55.3,96
32,1,22,4,55.15,79
34,1,16,5,84.95,67
30,0,5,6,43.25,67
60,1,23,4,48.35,83
59,0,1,4,79.55,72
31,0,1,5,84.5,73
57,1,71,9,108.6,90
57,0,46,3,30.3,95
32,0,1,3,45.4,67
53,1,32,6,84.15,74
41,0,3,1,19.75,83
62,0,5,6,85.4,90
62,0,49,3,75.2,90
50,0,17,5,55.85,76
53,0,6,6,84.4,77
44,0,6,5,56.25,95
51,0,4,7,68.65,76
48,0,4,3,77.85,65
50,0,3,9,105.35,65
48,0,8,5,87.05,69
22,0,1,4,53.5,80
35,0,1,2,25.1,79
21,0,5,5,54.2,78
47,1,72,9,103.4,83
60,0,13,6,84.45,74
53,0,29,3,30.6,77
51,0,17,2,70,70
37,0,1,3,45.3,86
64,0,2,3,29.85,95
40,0,1,1,19.8,96
36,0,4,4,76.65,90
45,1,5,8,99.15,74
57,0,9,2,44.95,66
53,1,18,4,49.55,90
55,0,25,7,95.9,68
40,1,52,5,84.1,75
48,0,8,3,49.85,75
22,1,22,7,69.5,94
47,1,54,9,104.3,77
49,0,1,7,93.85,78
47,1,1,4,50.45,75
33,0,7,8,74.65,67
53,0,12,6,94.2,73
59,2,54,9,106.55,90
33,0,1,1,20.1,80
45,0,23,6,83.8,80
25,0,3,5,55.15,78
46,0,31,4,78.45,72
39,1,34,6,87.45,91
36,1,29,3,70.75,73
31,0,1,5,81.7,83
37,0,33,3,68.25,91
41,0,4,5,79.15,68
29,1,19,8,100.95,73
46,1,1,3,69.1,92
53,0,31,9,103.45,65
31,0,4,5,77.95,89
46,0,10,2,29.5,69
64,0,2,7,70.75,72
19,0,4,6,85.65,87
39,0,1,3,46.3,73
63,0,41,8,106.3,85
36,0,12,7,89.4,79
28,0,10,5,74.15,90
43,1,11,8,99.5,84
44,0,1,3,44.15,90
36,0,16,4,53.9,65
22,0,1,6,85.45,91
36,1,4,4,50.85,90
40,0,1,6,59.2,65
42,0,13,5,83.2,86
19,0,1,6,54.9,89
57,1,21,9,103.9,91
35,1,11,1,19.25,69
33,4,6,4,75.5,88
25,5,4,5,73.75,83
39,0,12,7,96.05,89
30,0,4,6,88.95,72
42,0,4,4,50.7,90
23,0,3,5,53.4,65
42,1,68,5,83,86
47,0,1,4,50.6,82
55,0,10,6,89.5,84
50,0,1,2,69.8,90
44,1,24,8,101.05,66
53,1,18,7,94.7,72
44,4,4,6,61.45,83
20,0,1,6,90.55,89
58,0,26,5,88.8,82
23,0,7,6,85.2,86
54,1,42,9,106.15,93
36,0,4,3,45.3,91
37,0,2,4,73.25,78
47,1,8,4,51.05,77
63,1,9,4,85.35,95
63,0,43,4,75.2,68
54,0,1,1,20.9,90
23,0,3,4,43.3,91
38,1,70,10,109.5,82
63,1,1,4,74.6,75
35,0,16,1,19.7,82
25,0,15,6,59.45,68
23,0,46,9,105.2,91
59,0,8,3,45.15,91
62,1,31,6,93.8,79
45,0,32,7,96.2,93
20,0,1,5,79.6,94
49,0,20,5,85.25,92
34,0,26,5,80.5,72
61,0,1,4,50.75,93
57,1,14,6,89.65,91
25,0,36,7,65.4,71
50,0,9,8,72.9,65
25,0,5,6,40,80
40,0,2,6,86.25,94
43,0,1,3,45.65,78
30,0,8,2,70.1,75
19,0,3,6,55.35,65
34,0,2,3,45.85,81
64,0,39,4,75.25,96
24,0,12,8,100.15,96
53,0,2,2,24.4,91
36,0,4,1,20.95,85
37,0,9,1,20.25,91
38,0,9,3,45.15,73
59,1,50,5,84.4,80
36,0,1,4,75.1,83
50,1,54,7,70.15,95
64,0,42,8,101.75,66
41,0,1,2,45.8,78
63,0,1,1,20.1,95
64,2,9,4,40.65,91
62,0,1,3,69.1,82
25,0,13,5,75,68
56,1,19,8,100,71
25,0,24,7,54.15,95
59,1,67,10,108.75,90
59,1,6,4,49.15,86
30,0,20,1,19.4,86
36,1,11,8,102,88
60,0,2,1,20.65,83
23,0,1,4,70.8,73
37,0,16,7,89.05,87
48,0,3,7,96.6,72
47,1,57,9,104.5,80
54,0,5,3,50.6,94
40,0,4,4,49.35,83
22,0,7,7,94.25,91
64,1,1,3,68.95,75
62,0,4,4,76.05,75
44,0,1,2,24.45,65
35,0,7,5,89.35,91
60,3,4,4,80.35,65
24,0,1,5,79.05,80
42,1,1,7,95,82
29,0,1,3,25.2,82
34,1,54,10,109.75,90
56,0,2,1,19.3,94
33,0,15,4,49.1,86
29,0,31,6,65.25,68
46,9,61,7,94.1,71
51,2,24,9,104.65,72
44,0,3,4,74.25,94
57,1,4,8,100.2,82
46,1,57,7,70.1,81
29,0,4,9,105.65,66
27,0,35,9,85.95,91
50,0,4,4,73.9,71
39,1,58,10,109.45,89
21,0,30,8,100.2,90
32,1,21,4,74.05,91
57,0,3,8,101.55,73
30,1,21,6,55.95,74
36,0,1,3,45.75,90
41,0,11,4,74.95,76
53,0,1,5,80.15,72
57,1,72,10,109.25,90
20,0,3,3,35.2,91
55,1,1,4,78.8,87
42,0,47,8,106.4,91
31,0,18,4,49.4,75
63,1,20,6,90.2,85
42,0,6,7,93.55,71
64,0,1,5,80.85,77
41,1,48,6,82.05,93
41,1,3,1,20.55,90
41,0,1,5,78.65,81
47,0,1,3,42.9,87
26,0,3,4,34.25,88
30,0,9,8,58.5,95
23,1,6,9,105.3,90
32,1,16,4,73.85,77
61,0,25,2,24.75,94
31,0,4,2,24.45,70
33,0,28,8,105.7,72
64,0,1,2,24.25,85
48,0,11,4,76.5,76
47,0,4,8,93.5,73
60,0,28,4,74.9,91
21,0,1,2,24.05,67
36,0,1,4,50.55,87
56,0,14,8,100.55,72
47,0,1,1,20.5,76
51,0,4,4,74.8,71
44,1,20,2,24.45,94
27,0,14,3,71,95
56,0,3,6,50.6,83
64,1,40,6,84.85,91
21,1,2,6,65.7,96
53,0,1,3,70.5,90
34,0,10,8,94.85,90
21,0,1,1,19.75,91
42,1,14,6,65.45,90
49,1,22,7,67.5,76
25,0,1,4,69.6,79
61,1,49,10,84.35,73
20,0,1,4,78.05,91
63,0,7,4,73.6,87
55,0,9,4,74.75,82
38,0,1,1,20.2,81
22,0,2,3,25.05,77
23,0,57,4,39.3,66
64,0,1,1,20.25,85
30,0,13,2,23.9,82
48,0,1,5,85.45,95
22,0,63,8,99.9,71
64,0,25,6,84.8,70
48,1,35,4,75.2,94
44,1,71,5,49.35,95
49,0,6,4,74.9,87
43,0,15,8,101.25,85
59,0,9,1,18.95,78
31,0,37,3,28.6,82
60,5,11,7,96.2,92
21,1,55,9,104.15,86
41,0,1,6,90.6,92
51,0,6,4,50.8,88
42,0,4,6,90.05,91
61,1,3,4,75.85,79
39,1,1,3,68.5,89
30,0,11,4,73.5,75
29,0,1,3,69.95,65
52,0,5,7,70.05,84
59,0,8,7,94,71
21,1,22,5,61.15,87
37,0,29,6,84.45,91
20,1,13,8,75.3,89
38,0,3,1,19.6,81
63,0,62,8,102,87
62,1,17,7,90.2,91
19,1,56,2,25.15,79
58,0,31,5,79.85,67
26,0,2,4,49.6,78
53,0,3,7,91.85,91
42,1,1,3,40.1,93
57,0,14,6,89.8,81
28,1,35,8,72.25,83
36,0,7,5,40.1,68
58,0,1,3,79.55,81
44,0,32,5,84.05,68
44,0,1,6,89.1,79
57,1,17,7,94.4,66
59,0,19,5,78.25,72
35,0,1,1,19.1,84
26,0,1,4,74.9,73
36,0,3,2,24.75,69
25,1,2,5,79.7,65
28,1,55,5,57.55,69
50,3,21,6,86.5,72
42,1,69,9,103.95,86
27,0,39,6,48.95,80
47,1,6,6,83.55,91
42,0,1,2,70.45,90
31,1,58,6,60.3,88
